Album,Artist,Track ID,Track Name,Track URI,acousticness,danceability,popularity,speechiness,valence,liveness,instrumentalness,mode,energy
11:11 (Deluxe),Chris Brown,6qD1ZIP1DwGgrYXwtKZD5t,That's On You (feat. Future),spotify:track:6qD1ZIP1DwGgrYXwtKZD5t,0.208,0.477,23,0.202,0.525,0.135,0.0,0,0.722
Scarlet 2 CLAUDE,Doja Cat,3TDnApyHWsMzCzpQLdUSg0,Fuck The Girls (FTG),spotify:track:3TDnApyHWsMzCzpQLdUSg0,0.196,0.764,57,0.273,0.643,0.111,3.46E-5,1,0.72
Bryson Tiller,Bryson Tiller,5T7Gzs5ppc5eaHLGgsMvbn,Outside,spotify:track:5T7Gzs5ppc5eaHLGgsMvbn,0.132,0.754,61,0.0856,0.793,0.143,0.0,1,0.522
SLUT ME OUT 2,NLE Choppa,22yRHdYBLZMi7xnvBioqkP,SLUT ME OUT 2,spotify:track:22yRHdYBLZMi7xnvBioqkP,0.0383,0.718,"",0.235,0.456,0.0547,0.0,1,0.624
Keep It Up,Good Neighbours,609IlWeoziOobNvON3rDzi,Home,spotify:track:609IlWeoziOobNvON3rDzi,0.0289,0.583,41,0.0298,0.134,0.121,0.0634,1,0.676
Where The Joy Is,We Are Messengers,1MJ1jFf6KRJxf1axrGnKKW,My Hope Is In You,spotify:track:1MJ1jFf6KRJxf1axrGnKKW,0.132,0.552,30,0.0734,0.504,0.181,0.0,0,0.891
Fireworks & Rollerblades,Benson Boone,3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,0.151,0.472,79,0.0603,0.219,0.14,0.0,1,0.471
Fireworks & Rollerblades,Benson Boone,1LwYxucxNaw2MazAs2okBw,My Greatest Fear,spotify:track:1LwYxucxNaw2MazAs2okBw,0.0817,0.524,68,0.0304,0.385,0.196,0.0,1,0.612
Pigeons & Planes presents: See You Next Year 2,See You Next Year,5GeaeN06huREyfkJS9G5pf,I tried,spotify:track:5GeaeN06huREyfkJS9G5pf,0.346,0.615,30,0.0326,0.349,0.374,0.00122,0,0.387
USB,Fred again..,74cQSljwBwRAHbuXHf2HYs,Admit It (u dont want 2),spotify:track:74cQSljwBwRAHbuXHf2HYs,0.00923,0.761,53,0.141,0.49,0.098,0.00867,0,0.958
